Latitude,Longitude,Stop Name,Stop Status
40.685922,-73.972634,GREENE AV/FULTON ST,at stop
40.687928,-73.935707,GATES AV/LEWIS AV,at stop
40.686172,-73.950964,GATES AV/NOSTRAND AV,at stop
40.699126,-73.911432,PALMETTO ST/WYCKOFF AV,at stop
40.687091,-73.962534,GREENE AV/GRAND AV,approaching
40.686608,-73.947192,GATES AV/MARCY AV,approaching
40.688527,-73.930503,GATES AV/MALCOLM X BL,approaching
40.691758,-73.919842,GATES AV/EVERGREEN AV,approaching
40.685425,-73.95745,GATES AV/CLASSON AV,approaching
40.692416,-73.98907,FULTON ST/SMITH ST,< 1 stop away
40.700541,-73.910008,GATES AV/WYCKOFF AV,< 1 stop away
40.699931,-73.911814,GATES AV/IRVING AV,< 1 stop away
40.687889,-73.93605,GATES AV/MARCUS GARVEY BL,< 1 stop away
40.696121,-73.989288,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
